univ_id,univ_name,major_name,year,priority,real_apply,score,지원 결과,최초합격 커트라인,최종 커트라인,이월 전 정원,수시 이월 정원,실제 지원자 수,추가 합격자 수
2,연세대학교,간호학과(인문),2020,0.0,True,722.8166667,불합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,742.125,최초합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,735.3916667000002,최초합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,736.2333332999998,최초합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,741.6416667000002,최초합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,1.0,True,727.2666667000002,불합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,728.9333333,불합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,720.6,불합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,734.9,최초합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,734.0833332999998,최초합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,713.725,불합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,732.125,추가합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,740.05,최초합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,721.7166667,불합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,733.1833333,최초합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,True,725.4583332999998,불합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,728.6416667000002,불합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,True,734.3333332999998,최초합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,739.4583332999998,최초합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,3.0,True,664.2833333,불합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,729.4166667000002,불합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,751.7166667,최초합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,711.4833332999998,불합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,736.7416667,최초합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,726.3333332999998,불합격,732.54,731.71,20.0,1.0,57.0,1.0
2,연세대학교,간호학과(인문),2020,0.0,False,687.4416667,불합격,732.54,731.71,20.0,1.0,57.0,1.0
